Alemania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Hang Seng CEI,"10.633,07","10.707,38","10.597,46","+135,27","+1,29%",09:08:22
 
Hungría
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Budapest SE,"35.390,44","36.214,49","35.028,82","+125,46","+0,36%",06/11
BUMIX,"3.172,91","3.194,69","3.167,00","-8,95","-0,28%",06/11
FTSE Hungary,"3.403,88","3.403,88","3.403,88","+0,00","+0,00%",07/11
HTX (EUR),"3.325,68","3.385,22","3.292,39","+24,24","+0,73%",06/11
HTX (HUF),"7.728,85","7.881,60","7.664,83","+32,57","+0,42%",06/11
HTX (USD),"3.949,08","4.008,02","3.909,11","+44,64","+1,14%",06/11
 
India
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BSE Sensex,"42.597,43","42.645,33","42.263,64","+704,37","+1,68%",13:22:50
Nifty 50,"12.461,05","12.474,05","12.367,35","+197,50","+1,61%",11:01:38
India VIX,"20,1125","21,0475","17,5800","-0,3850","-1,88%",11:03:13
Nifty 100,"12.545,45","12.557,60","12.448,95","+196,30","+1,59%",11:01:38
Nifty 200,"6.415,10","6.420,35","6.363,75","+95,45","+1,51%",11:01:38
Nifty 50 USD,"5.726,35","5.726,35","5.726,35","+0,00","+0,00%",06/11
Nifty 50 Value 20,"5.984,50","5.999,75","5.944,00","+77,20","+1,31%",11:01:38
Nifty 500,"10.176,35","10.183,50","10.100,45","+142,85","+1,42%",11:01:38
NIFTY Midcap 100,"17.957,40","17.969,10","17.767,90","+154,65","+0,87%",11:01:39
Nifty Midcap 50,"4.979,35","4.984,75","4.906,35","+52,85","+1,07%",11:01:38
Nifty Next 50,"28.746,00","28.763,90","28.484,45","+411,15","+1,45%",11:01:38
NIFTY Smallcap 100,"5.878,30","5.915,40","5.858,95","+19,20","+0,33%",11:01:39
Nifty Smallcap 250,"5.052,25","5.084,40","5.042,75","+20,70","+0,41%",11:01:39
S&P BSE ALLCAP,"4.593,58","4.597,02","4.560,66","+63,89","+1,41%",13:22:45
BSE MidCap,"15.560,10","15.574,98","15.436,43","+155,34","+1,01%",13:22:45
BSE SmallCap,"15.304,72","15.351,86","15.240,76","+86,71","+0,57%",13:22:45
S&P BSE-100,"12.515,79","12.527,58","12.420,02","+192,62","+1,56%",13:22:50
S&P BSE-200,"5.231,85","5.236,46","5.191,43","+77,91","+1,51%",13:22:45
S&P BSE-500,"16.154,87","16.167,23","16.037,51","+227,49","+1,43%",13:22:45
 
Indonesia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
IDX Composite,"5.356,01","5.395,71","5.319,42","+20,48","+0,38%",09:15:00
FTSE Indonesia,"2.906,71","2.906,71","2.906,71","+0,00","+0,00%",07/11
IDX Kompas 100,"1.077,22","1.087,26","1.066,53","+5,48","+0,51%",09:15:00
IDX PEFINDO-25,"286,44","287,95","284,81","+1,99","+0,70%",09:14:57
IDX LQ45,"840,51","848,48","830,78","+5,61","+0,67%",09:15:00
 
Irak
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
ISX Main 60,"0,25","0,25","0,25","-484,13","-99,95%",11:55:00
 
Irlanda
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
ISEQ Overall,"7.005,22","7.188,09","6.815,08","+190,67","+2,80%",16:17:00
